GameName,Category,FullPath
Darksiders II,1DVD,G:\___ One-DVD READY GAMES ___\Darksiders II
Dead Island Riptide,1DVD,G:\___ One-DVD READY GAMES ___\Dead Island Riptide
Dead Rising (USA),1DVD,G:\___ One-DVD READY GAMES ___\Dead Rising (USA)
Dead Space (USA Asia) (EnFrEs),1DVD,G:\___ One-DVD READY GAMES ___\Dead Space (USA Asia) (EnFrEs)
Dead to Rights Retribution,1DVD,G:\___ One-DVD READY GAMES ___\Dead to Rights Retribution
Deadfall Adventures (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Deadfall Adventures (USA Europe)
Deadliest Warrior Ancient Combat,1DVD,G:\___ One-DVD READY GAMES ___\Deadliest Warrior Ancient Combat
deBlob 2,1DVD,G:\___ One-DVD READY GAMES ___\deBlob 2
Destiny (World),1DVD,G:\___ One-DVD READY GAMES ___\Destiny (World)
Destroy All Humans Path of the Furon (USA),1DVD,G:\___ One-DVD READY GAMES ___\Destroy All Humans Path of the Furon (USA)
Devil May Cry,1DVD,G:\___ One-DVD READY GAMES ___\Devil May Cry
Devil May Cry HD Collection,1DVD,G:\___ One-DVD READY GAMES ___\Devil May Cry HD Collection
Digimon All Star Rumble,1DVD,G:\___ One-DVD READY GAMES ___\Digimon All Star Rumble
Dirt 2,1DVD,G:\___ One-DVD READY GAMES ___\Dirt 2
Dirt 3,1DVD,G:\___ One-DVD READY GAMES ___\Dirt 3
Dirt Showdown,1DVD,G:\___ One-DVD READY GAMES ___\Dirt Showdown
Dishonored,1DVD,G:\___ One-DVD READY GAMES ___\Dishonored
Disney Epic Mickey 2 - The Power of Two (USA Europe) (EnFrEsNlPt),1DVD,G:\___ One-DVD READY GAMES ___\Disney Epic Mickey 2 - The Power of Two (USA Europe) (EnFrEsNlPt)
Disney Infinity 2.0 Edition (USA) (EnFrEsPt),1DVD,G:\___ One-DVD READY GAMES ___\Disney Infinity 2.0 Edition (USA) (EnFrEsPt)
