GameName	Category	FullPath
Dantes Inferno	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dantes Inferno
Dark Soul 2 (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Dark Soul 2 (2-DVD)
Dark Souls II (World) (EnJaFrDeEsItZhKoPlRu)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dark Souls II (World) (EnJaFrDeEsItZhKoPlRu)
Dark Souls II - Scholar of the First Sin (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Dark Souls II - Scholar of the First Sin (2-DVD)
Dark Souls Prepare To Die Edition	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dark Souls Prepare To Die Edition
Darkness The (USA Europe) (EnFrDeEsIt)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Darkness The (USA Europe) (EnFrDeEsIt)
Darksiders (USA) (EnFrEs)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Darksiders (USA) (EnFrEs)
Darksiders II	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Darksiders II
Dead Island Riptide	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dead Island Riptide
Dead Rising (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dead Rising (USA)
Dead Rising 2 - Case Zero (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Dead Rising 2 - Case Zero (XBLA)
Dead Space (USA Asia) (EnFrEs)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dead Space (USA Asia) (EnFrEs)
Dead Space 2 (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Dead Space 2 (2-DVD)
Dead Space 3 (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Dead Space 3 (2-DVD)
Dead to Rights Retribution	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dead to Rights Retribution
Deadfall Adventures (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Deadfall Adventures (USA Europe)
Deadliest Warrior Ancient Combat	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Deadliest Warrior Ancient Combat
Deadlight (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Deadlight (XBLA)
deBlob 2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\deBlob 2
Destiny (World)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Destiny (World)
Destroy All Humans Path of the Furon (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Destroy All Humans Path of the Furon (USA)
Deus Ex Human Revolution Directors Cut (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Deus Ex Human Revolution Directors Cut (2-DVD)
Devil May Cry	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Devil May Cry
Devil May Cry HD Collection	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Devil May Cry HD Collection
Digimon All Star Rumble	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Digimon All Star Rumble
Dirt 2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dirt 2
Dirt 3	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dirt 3
Dirt Showdown	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dirt Showdown
Dishonored	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dishonored
Dishwasher The - Dead Samurai (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Dishwasher The - Dead Samurai (XBLA)
Dishwasher The - Vampire Smile (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Dishwasher The - Vampire Smile (XBLA)
Disney Epic Mickey 2 - The Power of Two (USA Europe) (EnFrEsNlPt)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney Epic Mickey 2 - The Power of Two (USA Europe) (EnFrEsNlPt)
Disney Infinity 2.0 Edition (USA) (EnFrEsPt)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney Infinity 2.0 Edition (USA) (EnFrEsPt)
Disney Infinity 3.0 Edition (USA) (EnFrEs)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney Infinity 3.0 Edition (USA) (EnFrEs)
Disney Pirates of the Caribbean - At Worlds End (USA) (EnFrDeEsItNl)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney Pirates of the Caribbean - At Worlds End (USA) (EnFrDeEsItNl)
Disney Universe	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney Universe
Disney-Pixar Brave (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney-Pixar Brave (USA)
Disney.Bolt	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Disney.Bolt
Doom 3 BFG Edition	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Doom 3 BFG Edition
Doom II - Hell on Earth (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Doom II - Hell on Earth (XBLA)
Dragon Age - Origins (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Dragon Age - Origins (2-DVD)
Dragon Age 2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dragon Age 2
Dragon Ball Xenoverse (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dragon Ball Xenoverse (USA)
Dragonball Z Battle Of Z	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dragonball Z Battle Of Z
